point_id,mode,v_ref_v,i_out_a,iteration,duty,v_out_v,voltage_error_v,abs_error_v
1,OFF,8.00000000,1.00000000,0,0.16666667,7.45618667,0.54381333,0.54381333
1,OFF,8.00000000,1.00000000,1,0.17233139,7.73137887,0.26862113,0.26862113
1,OFF,8.00000000,1.00000000,2,0.17512953,7.86731236,0.13268764,0.13268764
1,OFF,8.00000000,1.00000000,3,0.17651169,7.93445783,0.06554217,0.06554217
1,OFF,8.00000000,1.00000000,4,0.17719442,7.96762490,0.03237510,0.03237510
1,OFF,8.00000000,1.00000000,5,0.17753166,7.98400805,0.01599195,0.01599195
1,OFF,8.00000000,1.00000000,6,0.17769824,7.99210064,0.00789936,0.00789936
1,OFF,8.00000000,1.00000000,7,0.17778053,7.99609805,0.00390195,0.00390195
1,OFF,8.00000000,1.00000000,8,0.17782117,7.99807260,0.00192740,0.00192740
1,OFF,8.00000000,1.00000000,9,0.17784125,7.99904794,0.00095206,0.00095206
1,OFF,8.00000000,1.00000000,10,0.17785117,7.99952972,0.00047028,0.00047028
1,OFF,8.00000000,1.00000000,11,0.17785607,7.99976770,0.00023230,0.00023230
1,OFF,8.00000000,1.00000000,12,0.17785849,7.99988526,0.00011474,0.00011474
1,OFF,8.00000000,1.00000000,13,0.17785968,7.99994332,0.00005668,0.00005668
2,OFF,8.00000000,2.00000000,0,0.16666667,7.36521243,0.63478757,0.63478757
2,OFF,8.00000000,2.00000000,1,0.17327904,7.68666050,0.31333950,0.31333950
2,OFF,8.00000000,2.00000000,2,0.17654299,7.84533150,0.15466850,0.15466850
2,OFF,8.00000000,2.00000000,3,0.17815412,7.92365360,0.07634640,0.07634640
2,OFF,8.00000000,2.00000000,4,0.17894940,7.96231441,0.03768559,0.03768559
2,OFF,8.00000000,2.00000000,5,0.17934195,7.98139790,0.01860210,0.01860210
2,OFF,8.00000000,2.00000000,6,0.17953573,7.99081776,0.00918224,0.00918224
2,OFF,8.00000000,2.00000000,7,0.17963137,7.99546752,0.00453248,0.00453248
2,OFF,8.00000000,2.00000000,8,0.17967859,7.99776271,0.00223729,0.00223729
