point_id,mode,v_ref_v,i_out_a,iteration,duty,v_out_v,voltage_error_v,abs_error_v
1,ON,8.00000000,1.00000000,0,0.17833024,8.02280303,-0.02280303,0.02280303
1,ON,8.00000000,1.00000000,1,0.17809271,8.01126375,-0.01126375,0.01126375
1,ON,8.00000000,1.00000000,2,0.17797538,8.00556382,-0.00556382,0.00556382
1,ON,8.00000000,1.00000000,3,0.17791742,8.00274830,-0.00274830,0.00274830
1,ON,8.00000000,1.00000000,4,0.17788879,8.00135754,-0.00135754,0.00135754
1,ON,8.00000000,1.00000000,5,0.17787465,8.00067057,-0.00067057,0.00067057
1,ON,8.00000000,1.00000000,6,0.17786767,8.00033123,-0.00033123,0.00033123
1,ON,8.00000000,1.00000000,7,0.17786422,8.00016362,-0.00016362,0.00016362
1,ON,8.00000000,1.00000000,8,0.17786251,8.00008082,-0.00008082,0.00008082
2,ON,8.00000000,2.00000000,0,0.18016054,8.02119179,-0.02119179,0.02119179
2,ON,8.00000000,2.00000000,1,0.17993979,8.01046055,-0.01046055,0.01046055
2,ON,8.00000000,2.00000000,2,0.17983083,8.00516346,-0.00516346,0.00516346
2,ON,8.00000000,2.00000000,3,0.17977704,8.00254875,-0.00254875,0.00254875
2,ON,8.00000000,2.00000000,4,0.17975049,8.00125810,-0.00125810,0.00125810
2,ON,8.00000000,2.00000000,5,0.17973738,8.00062101,-0.00062101,0.00062101
2,ON,8.00000000,2.00000000,6,0.17973092,8.00030654,-0.00030654,0.00030654
2,ON,8.00000000,2.00000000,7,0.17972772,8.00015131,-0.00015131,0.00015131
2,ON,8.00000000,2.00000000,8,0.17972615,8.00007469,-0.00007469,0.00007469
3,ON,8.00000000,3.00000000,0,0.18199083,8.02024879,-0.02024879,0.02024879
3,ON,8.00000000,3.00000000,1,0.18177991,8.00998970,-0.00998970,0.00998970
3,ON,8.00000000,3.00000000,2,0.18167585,8.00492840,-0.00492840,0.00492840
3,ON,8.00000000,3.00000000,3,0.18162451,8.00243142,-0.00243142,0.00243142
3,ON,8.00000000,3.00000000,4,0.18159919,8.00119954,-0.00119954,0.00119954
3,ON,8.00000000,3.00000000,5,0.18158669,8.00059179,-0.00059179,0.00059179
3,ON,8.00000000,3.00000000,6,0.18158053,8.00029196,-0.00029196,0.00029196
3,ON,8.00000000,3.00000000,7,0.18157748,8.00014404,-0.00014404,0.00014404
3,ON,8.00000000,3.00000000,8,0.18157598,8.00007106,-0.00007106,0.00007106
4,ON,8.00000000,4.00000000,0,0.18359157,8.00284573,-0.00284573,0.00284573
4,ON,8.00000000,4.00000000,1,0.18356193,8.00140330,-0.00140330,0.00140330
4,ON,8.00000000,4.00000000,2,0.18354731,8.00069200,-0.00069200,0.00069200
4,ON,8.00000000,4.00000000,3,0.18354010,8.00034124,-0.00034124,0.00034124
4,ON,8.00000000,4.00000000,4,0.18353654,8.00016828,-0.00016828,0.00016828
4,ON,8.00000000,4.00000000,5,0.18353479,8.00008298,-0.00008298,0.00008298
5,ON,8.00000000,5.00000000,0,0.18540788,7.98656339,0.01343661,0.01343661
5,ON,8.00000000,5.00000000,1,0.18554784,7.99337671,0.00662329,0.00662329
5,ON,8.00000000,5.00000000,2,0.18561683,7.99673520,0.00326480,0.00326480
5,ON,8.00000000,5.00000000,3,0.18565084,7.99839069,0.00160931,0.00160931
5,ON,8.00000000,5.00000000,4,0.18566761,7.99920672,0.00079328,0.00079328
5,ON,8.00000000,5.00000000,5,0.18567587,7.99960897,0.00039103,0.00039103
5,ON,8.00000000,5.00000000,6,0.18567994,7.99980725,0.00019275,0.00019275
5,ON,8.00000000,5.00000000,7,0.18568195,7.99990499,0.00009501,0.00009501
6,ON,8.00000000,6.00000000,0,0.18812349,8.00121442,-0.00121442,0.00121442
6,ON,8.00000000,6.00000000,1,0.18811084,8.00059841,-0.00059841,0.00059841
6,ON,8.00000000,6.00000000,2,0.18810460,8.00029486,-0.00029486,0.00029486
6,ON,8.00000000,6.00000000,3,0.18810153,8.00014529,-0.00014529,0.00014529
6,ON,8.00000000,6.00000000,4,0.18810002,8.00007159,-0.00007159,0.00007159
7,ON,8.00000000,7.00000000,0,0.19098380,8.00683792,-0.00683792,0.00683792
7,ON,8.00000000,7.00000000,1,0.19091257,8.00336827,-0.00336827,0.00336827
7,ON,8.00000000,7.00000000,2,0.19087749,8.00165917,-0.00165917,0.00165917
7,ON,8.00000000,7.00000000,3,0.19086020,8.00081728,-0.00081728,0.00081728
7,ON,8.00000000,7.00000000,4,0.19085169,8.00040258,-0.00040258,0.00040258
7,ON,8.00000000,7.00000000,5,0.19084750,8.00019831,-0.00019831,0.00019831
7,ON,8.00000000,7.00000000,6,0.19084543,8.00009768,-0.00009768,0.00009768
8,ON,8.00000000,8.00000000,0,0.19394414,7.99814107,0.00185893,0.00185893
8,ON,8.00000000,8.00000000,1,0.19396350,7.99908460,0.00091540,0.00091540
8,ON,8.00000000,8.00000000,2,0.19397304,7.99954923,0.00045077,0.00045077
8,ON,8.00000000,8.00000000,3,0.19397773,7.99977802,0.00022198,0.00022198
8,ON,8.00000000,8.00000000,4,0.19398005,7.99989069,0.00010931,0.00010931
8,ON,8.00000000,8.00000000,5,0.19398118,7.99994617,0.00005383,0.00005383
9,ON,8.00000000,9.00000000,0,0.19760552,8.00137284,-0.00137284,0.00137284
9,ON,8.00000000,9.00000000,1,0.19759122,8.00067584,-0.00067584,0.00067584
9,ON,8.00000000,9.00000000,2,0.19758418,8.00033271,-0.00033271,0.00033271
9,ON,8.00000000,9.00000000,3,0.19758071,8.00016379,-0.00016379,0.00016379
9,ON,8.00000000,9.00000000,4,0.19757900,8.00008063,-0.00008063,0.00008063
10,ON,8.00000000,10.00000000,0,0.20166793,7.99893080,0.00106920,0.00106920
10,ON,8.00000000,10.00000000,1,0.20167907,7.99947379,0.00052621,0.00052621
10,ON,8.00000000,10.00000000,2,0.20168455,7.99974102,0.00025898,0.00025898
10,ON,8.00000000,10.00000000,3,0.20168725,7.99987254,0.00012746,0.00012746
10,ON,8.00000000,10.00000000,4,0.20168857,7.99993727,0.00006273,0.00006273
11,ON,12.00000000,1.00000000,0,0.26041156,12.01031381,-0.01031381,0.01031381
11,ON,12.00000000,1.00000000,1,0.26030413,12.00509459,-0.00509459,0.00509459
11,ON,12.00000000,1.00000000,2,0.26025106,12.00251652,-0.00251652,0.00251652
11,ON,12.00000000,1.00000000,3,0.26022485,12.00124305,-0.00124305,0.00124305
11,ON,12.00000000,1.00000000,4,0.26021190,12.00061402,-0.00061402,0.00061402
11,ON,12.00000000,1.00000000,5,0.26020550,12.00030330,-0.00030330,0.00030330
11,ON,12.00000000,1.00000000,6,0.26020234,12.00014982,-0.00014982,0.00014982
11,ON,12.00000000,1.00000000,7,0.26020078,12.00007400,-0.00007400,0.00007400
12,ON,12.00000000,2.00000000,0,0.26187355,11.99351775,0.00648225,0.00648225
12,ON,12.00000000,2.00000000,1,0.26194107,11.99680028,0.00319972,0.00319972
12,ON,12.00000000,2.00000000,2,0.26197440,11.99842057,0.00157943,0.00157943
12,ON,12.00000000,2.00000000,3,0.26199086,11.99922038,0.00077962,0.00077962
12,ON,12.00000000,2.00000000,4,0.26199898,11.99961517,0.00038483,0.00038483
12,ON,12.00000000,2.00000000,5,0.26200299,11.99981004,0.00018996,0.00018996
12,ON,12.00000000,2.00000000,6,0.26200497,11.99990623,0.00009377,0.00009377
13,ON,12.00000000,3.00000000,0,0.26378897,11.99879261,0.00120739,0.00120739
13,ON,12.00000000,3.00000000,1,0.26380155,11.99940434,0.00059566,0.00059566
13,ON,12.00000000,3.00000000,2,0.26380775,11.99970613,0.00029387,0.00029387
13,ON,12.00000000,3.00000000,3,0.26381081,11.99985502,0.00014498,0.00014498
13,ON,12.00000000,3.00000000,4,0.26381232,11.99992847,0.00007153,0.00007153
14,ON,12.00000000,4.00000000,0,0.26591088,12.00850345,-0.00850345,0.00850345
14,ON,12.00000000,4.00000000,1,0.26582230,12.00419326,-0.00419326,0.00419326
14,ON,12.00000000,4.00000000,2,0.26577862,12.00206780,-0.00206780,0.00206780
14,ON,12.00000000,4.00000000,3,0.26575708,12.00101969,-0.00101969,0.00101969
14,ON,12.00000000,4.00000000,4,0.26574646,12.00050283,-0.00050283,0.00050283
14,ON,12.00000000,4.00000000,5,0.26574122,12.00024796,-0.00024796,0.00024796
14,ON,12.00000000,4.00000000,6,0.26573864,12.00012227,-0.00012227,0.00012227
14,ON,12.00000000,4.00000000,7,0.26573737,12.00006030,-0.00006030,0.00006030
15,ON,12.00000000,5.00000000,0,0.26760035,11.98760136,0.01239864,0.01239864
15,ON,12.00000000,5.00000000,1,0.26772950,11.99388836,0.00611164,0.00611164
15,ON,12.00000000,5.00000000,2,0.26779317,11.99698740,0.00301260,0.00301260
15,ON,12.00000000,5.00000000,3,0.26782455,11.99851500,0.00148500,0.00148500
15,ON,12.00000000,5.00000000,4,0.26784002,11.99926800,0.00073200,0.00073200
15,ON,12.00000000,5.00000000,5,0.26784764,11.99963918,0.00036082,0.00036082
