point_id,v_ref_v,i_out_a,duty_ff,duty_opt,delta_duty,mode,v_out_at_ff_v,ff_error_v,delta_duty_nn,duty_start,v_out_at_start_v,start_error_v,v_out_final_v,final_error_v,correction_iterations
1,8.00000000,1.00000000,0.16666667,0.17785968,0.01119301,OFF,7.45618667,0.54381333,0.00000000,0.16666667,7.45618667,0.54381333,7.99994332,0.00005668,13
2,8.00000000,2.00000000,0.16666667,0.17972326,0.01305659,OFF,7.36521243,0.63478757,0.00000000,0.16666667,7.36521243,0.63478757,7.99993444,0.00006556,13
3,8.00000000,3.00000000,0.16666667,0.18157299,0.01490633,OFF,7.27490328,0.72509672,0.00000000,0.16666667,7.27490328,0.72509672,7.99992563,0.00007437,13
4,8.00000000,4.00000000,0.16666667,0.18353137,0.01686470,OFF,7.17928000,0.82072000,0.00000000,0.16666667,7.17928000,0.82072000,7.99991632,0.00008368,13
5,8.00000000,5.00000000,0.16666667,0.18568197,0.01901531,OFF,7.07426213,0.92573787,0.00000000,0.16666667,7.07426213,0.92573787,7.99990610,0.00009390,13
6,8.00000000,6.00000000,0.16666667,0.18809748,0.02143081,OFF,6.95635402,1.04364598,0.00000000,0.16666667,6.95635402,1.04364598,7.99994808,0.00005192,14
7,8.00000000,7.00000000,0.16666667,0.19084223,0.02417556,OFF,6.82230991,1.17769009,0.00000000,0.16666667,6.82230991,1.17769009,7.99994168,0.00005832,14
8,8.00000000,8.00000000,0.16666667,0.19398094,0.02731427,OFF,6.66901153,1.33098847,0.00000000,0.16666667,6.66901153,1.33098847,7.99993438,0.00006562,14
9,8.00000000,9.00000000,0.16666667,0.19757583,0.03090916,OFF,6.49341333,1.50658667,0.00000000,0.16666667,6.49341333,1.50658667,7.99992602,0.00007398,14
10,8.00000000,10.00000000,0.16666667,0.20168815,0.03502148,OFF,6.29251482,1.70748518,0.00000000,0.16666667,6.29251482,1.70748518,7.99991648,0.00008352,14
11,12.00000000,1.00000000,0.25000000,0.26019820,0.01019820,OFF,11.50452000,0.49548000,0.00000000,0.25000000,11.50452000,0.49548000,11.99994836,0.00005164,13
12,12.00000000,2.00000000,0.25000000,0.26200565,0.01200565,OFF,11.41630719,0.58369281,0.00000000,0.25000000,11.41630719,0.58369281,11.99993971,0.00006029,13
13,12.00000000,3.00000000,0.25000000,0.26381238,0.01381238,OFF,11.32811695,0.67188305,0.00000000,0.25000000,11.32811695,0.67188305,11.99993109,0.00006891,13
14,12.00000000,4.00000000,0.25000000,0.26573452,0.01573452,OFF,11.23428000,0.76572000,0.00000000,0.25000000,11.23428000,0.76572000,11.99992193,0.00007807,13
15,12.00000000,5.00000000,0.25000000,0.26785324,0.01785324,OFF,11.13083592,0.86916408,0.00000000,0.25000000,11.13083592,0.86916408,11.99991184,0.00008816,13
16,12.00000000,6.00000000,0.25000000,0.27023884,0.02023884,OFF,11.01435062,0.98564938,0.00000000,0.25000000,11.01435062,0.98564938,11.99990049,0.00009951,13
17,12.00000000,7.00000000,0.25000000,0.27295815,0.02295815,OFF,10.88161492,1.11838508,0.00000000,0.25000000,10.88161492,1.11838508,11.99994462,0.00005538,14
18,12.00000000,8.00000000,0.25000000,0.27607224,0.02607224,OFF,10.72953437,1.27046563,0.00000000,0.25000000,10.72953437,1.27046563,11.99993736,0.00006264,14
19,12.00000000,9.00000000,0.25000000,0.27964401,0.02964401,OFF,10.55508000,1.44492000,0.00000000,0.25000000,10.55508000,1.44492000,11.99992905,0.00007095,14
20,12.00000000,10.00000000,0.25000000,0.28373447,0.03373447,OFF,10.35526334,1.64473666,0.00000000,0.25000000,10.35526334,1.64473666,11.99991955,0.00008045,14
21,18.00000000,1.00000000,0.37500000,0.38370504,0.00870504,OFF,17.57702000,0.42298000,0.00000000,0.37500000,17.57702000,0.42298000,17.99991075,0.00008925,12
